Kategori,Isi
Strategi,Rencana Proyek Rahasia Strategis Kode-756
Keuangan,Transfer Rp 95000000 ke Rekening 43076788
IT Security,Server IP 163.113 API: RVVCEIGSOU
IT Security,Server IP 11.52 API: DIWIXKYEKC
IT Security,Server IP 148.39 API: RZEVIWVSUN
Strategi,Rencana Proyek Rahasia Strategis Kode-654
IT Security,Server IP 122.247 API: BPUULTANFE
HRD,Data Gaji NIK 2913 atas nama Karyawan-3
HRD,Data Gaji NIK 6757 atas nama Karyawan-83
Keuangan,Transfer Rp 63000000 ke Rekening 82615145
Keuangan,Transfer Rp 100000000 ke Rekening 72475731
Strategi,Rencana Proyek Rahasia Strategis Kode-341
IT Security,Server IP 102.5 API: DKAQTRMGQC
Strategi,Rencana Proyek Rahasia Strategis Kode-634
Strategi,Rencana Proyek Rahasia Strategis Kode-974
IT Security,Server IP 81.151 API: ZCKEMCOOJZ
Strategi,Rencana Proyek Rahasia Strategis Kode-343
HRD,Data Gaji NIK 9247 atas nama Karyawan-95
HRD,Data Gaji NIK 8241 atas nama Karyawan-76
IT Security,Server IP 21.25 API: YASVLTRWRK
Strategi,Rencana Proyek Rahasia Strategis Kode-892
HRD,Data Gaji NIK 6496 atas nama Karyawan-47
Keuangan,Transfer Rp 43000000 ke Rekening 53626837
Keuangan,Transfer Rp 80000000 ke Rekening 53256730
IT Security,Server IP 111.89 API: MMIKVVDQUW
Strategi,Rencana Proyek Rahasia Strategis Kode-742
HRD,Data Gaji NIK 5251 atas nama Karyawan-33
Strategi,Rencana Proyek Rahasia Strategis Kode-532
HRD,Data Gaji NIK 7968 atas nama Karyawan-81
Strategi,Rencana Proyek Rahasia Strategis Kode-526
IT Security,Server IP 22.115 API: VNRHOHPDPR
IT Security,Server IP 220.200 API: SKIVXIWACE
Strategi,Rencana Proyek Rahasia Strategis Kode-590
Strategi,Rencana Proyek Rahasia Strategis Kode-736
HRD,Data Gaji NIK 7240 atas nama Karyawan-100
Strategi,Rencana Proyek Rahasia Strategis Kode-442
Strategi,Rencana Proyek Rahasia Strategis Kode-372
Strategi,Rencana Proyek Rahasia Strategis Kode-832
Keuangan,Transfer Rp 94000000 ke Rekening 65502616
Keuangan,Transfer Rp 8000000 ke Rekening 97384257
HRD,Data Gaji NIK 4994 atas nama Karyawan-13
HRD,Data Gaji NIK 9277 atas nama Karyawan-99
Keuangan,Transfer Rp 54000000 ke Rekening 39121580
IT Security,Server IP 169.126 API: EFEHJVKSSB
Keuangan,Transfer Rp 28000000 ke Rekening 79236025
HRD,Data Gaji NIK 1968 atas nama Karyawan-28
HRD,Data Gaji NIK 3474 atas nama Karyawan-17
Strategi,Rencana Proyek Rahasia Strategis Kode-449
Keuangan,Transfer Rp 87000000 ke Rekening 71341976
Strategi,Rencana Proyek Rahasia Strategis Kode-876
IT Security,Server IP 3.106 API: YEJQLTNKHD
IT Security,Server IP 9.145 API: JAADTXOSCR
IT Security,Server IP 206.68 API: KIXPLRBGDS
IT Security,Server IP 165.53 API: LFNQTUGJAH
IT Security,Server IP 116.154 API: NYAULKAYDS
Keuangan,Transfer Rp 78000000 ke Rekening 20715544
Strategi,Rencana Proyek Rahasia Strategis Kode-178
IT Security,Server IP 93.124 API: CPZYDIPYVT
IT Security,Server IP 45.50 API: LSZXIRQBEZ
IT Security,Server IP 35.166 API: VJQTAWLOJP
IT Security,Server IP 165.72 API: WJGEHXSNOW
Keuangan,Transfer Rp 4000000 ke Rekening 74443331
Strategi,Rencana Proyek Rahasia Strategis Kode-503
Keuangan,Transfer Rp 26000000 ke Rekening 28141466
HRD,Data Gaji NIK 3089 atas nama Karyawan-73
HRD,Data Gaji NIK 8583 atas nama Karyawan-64
IT Security,Server IP 79.71 API: PPVOTIAJXA
HRD,Data Gaji NIK 7697 atas nama Karyawan-69
IT Security,Server IP 59.183 API: CPAVUOSEDH
Keuangan,Transfer Rp 100000000 ke Rekening 21479490
Strategi,Rencana Proyek Rahasia Strategis Kode-492
Keuangan,Transfer Rp 29000000 ke Rekening 77422802
Keuangan,Transfer Rp 59000000 ke Rekening 67036162
Strategi,Rencana Proyek Rahasia Strategis Kode-136
IT Security,Server IP 249.239 API: AMFSNGBAWU
Keuangan,Transfer Rp 39000000 ke Rekening 80201734
Keuangan,Transfer Rp 42000000 ke Rekening 73237236
HRD,Data Gaji NIK 1946 atas nama Karyawan-6
Strategi,Rencana Proyek Rahasia Strategis Kode-315
HRD,Data Gaji NIK 7931 atas nama Karyawan-72
Strategi,Rencana Proyek Rahasia Strategis Kode-179
Strategi,Rencana Proyek Rahasia Strategis Kode-876
Strategi,Rencana Proyek Rahasia Strategis Kode-773
Strategi,Rencana Proyek Rahasia Strategis Kode-202
HRD,Data Gaji NIK 9775 atas nama Karyawan-43
HRD,Data Gaji NIK 9328 atas nama Karyawan-11
IT Security,Server IP 136.25 API: OQXJYZVQIG
IT Security,Server IP 85.158 API: LMEOHDIDKC
Strategi,Rencana Proyek Rahasia Strategis Kode-326
HRD,Data Gaji NIK 3847 atas nama Karyawan-29
HRD,Data Gaji NIK 7008 atas nama Karyawan-1
IT Security,Server IP 186.147 API: QJZOXALDPP
Strategi,Rencana Proyek Rahasia Strategis Kode-431
Keuangan,Transfer Rp 97000000 ke Rekening 18920936
Strategi,Rencana Proyek Rahasia Strategis Kode-287
IT Security,Server IP 48.44 API: QCSVVMVERN
IT Security,Server IP 134.132 API: LOREOPGOGO
IT Security,Server IP 223.166 API: MFBPKQSPBP
Keuangan,Transfer Rp 10000000 ke Rekening 31322345
Keuangan,Transfer Rp 74000000 ke Rekening 27289256
Keuangan,Transfer Rp 78000000 ke Rekening 50225133
Strategi,Rencana Proyek Rahasia Strategis Kode-211
Strategi,Rencana Proyek Rahasia Strategis Kode-639
Strategi,Rencana Proyek Rahasia Strategis Kode-475
IT Security,Server IP 59.159 API: TIUYQVBSLC
Strategi,Rencana Proyek Rahasia Strategis Kode-529
Keuangan,Transfer Rp 25000000 ke Rekening 52631544
IT Security,Server IP 236.115 API: GUHCZMLIDB
Strategi,Rencana Proyek Rahasia Strategis Kode-230
Strategi,Rencana Proyek Rahasia Strategis Kode-373
Strategi,Rencana Proyek Rahasia Strategis Kode-565
Strategi,Rencana Proyek Rahasia Strategis Kode-224
HRD,Data Gaji NIK 1313 atas nama Karyawan-16
Strategi,Rencana Proyek Rahasia Strategis Kode-896
Keuangan,Transfer Rp 10000000 ke Rekening 60156983
Strategi,Rencana Proyek Rahasia Strategis Kode-741
Keuangan,Transfer Rp 16000000 ke Rekening 36458818
Keuangan,Transfer Rp 55000000 ke Rekening 48509474
Strategi,Rencana Proyek Rahasia Strategis Kode-547
Strategi,Rencana Proyek Rahasia Strategis Kode-387
Keuangan,Transfer Rp 45000000 ke Rekening 91699494
Strategi,Rencana Proyek Rahasia Strategis Kode-356
HRD,Data Gaji NIK 3502 atas nama Karyawan-46
IT Security,Server IP 113.252 API: KTVHDVOFWD
Keuangan,Transfer Rp 67000000 ke Rekening 70195623
Keuangan,Transfer Rp 25000000 ke Rekening 37200339
Strategi,Rencana Proyek Rahasia Strategis Kode-239
HRD,Data Gaji NIK 9839 atas nama Karyawan-50
Strategi,Rencana Proyek Rahasia Strategis Kode-127
IT Security,Server IP 133.74 API: PXOODXGCUY
Strategi,Rencana Proyek Rahasia Strategis Kode-219
IT Security,Server IP 252.234 API: TBOMPCISDM
Keuangan,Transfer Rp 36000000 ke Rekening 50876820
HRD,Data Gaji NIK 7424 atas nama Karyawan-1
HRD,Data Gaji NIK 5690 atas nama Karyawan-9
HRD,Data Gaji NIK 4135 atas nama Karyawan-63
Keuangan,Transfer Rp 2000000 ke Rekening 96664762
HRD,Data Gaji NIK 9003 atas nama Karyawan-30
HRD,Data Gaji NIK 8748 atas nama Karyawan-15
IT Security,Server IP 97.245 API: EBAPFASRMQ
IT Security,Server IP 120.93 API: BBXEFUPBQI
HRD,Data Gaji NIK 9235 atas nama Karyawan-4
IT Security,Server IP 26.51 API: YOJGRSNDBV
Strategi,Rencana Proyek Rahasia Strategis Kode-387
IT Security,Server IP 40.192 API: LJKQOYWJBJ
Strategi,Rencana Proyek Rahasia Strategis Kode-577
Keuangan,Transfer Rp 71000000 ke Rekening 21965242
Keuangan,Transfer Rp 98000000 ke Rekening 19682589
Strategi,Rencana Proyek Rahasia Strategis Kode-811
Keuangan,Transfer Rp 92000000 ke Rekening 64477669
IT Security,Server IP 55.68 API: NQRMKTAXUB
IT Security,Server IP 120.222 API: MQCOPVXYQO
IT Security,Server IP 111.227 API: NEFSXPXMPX
Keuangan,Transfer Rp 43000000 ke Rekening 74669987
Strategi,Rencana Proyek Rahasia Strategis Kode-689
Strategi,Rencana Proyek Rahasia Strategis Kode-238
IT Security,Server IP 95.93 API: LKJNBOSFHW
HRD,Data Gaji NIK 7537 atas nama Karyawan-43
HRD,Data Gaji NIK 2456 atas nama Karyawan-79
IT Security,Server IP 222.116 API: GZYKNIRFNQ
IT Security,Server IP 182.89 API: VAQIGSLIEG
Keuangan,Transfer Rp 60000000 ke Rekening 27856622
IT Security,Server IP 85.254 API: BAIRWZBOFJ
HRD,Data Gaji NIK 2902 atas nama Karyawan-18
Strategi,Rencana Proyek Rahasia Strategis Kode-369
IT Security,Server IP 134.118 API: HCNQRXWFNM
Strategi,Rencana Proyek Rahasia Strategis Kode-207
Strategi,Rencana Proyek Rahasia Strategis Kode-884
IT Security,Server IP 162.86 API: KADPIMPKYK
Keuangan,Transfer Rp 40000000 ke Rekening 38060947
Strategi,Rencana Proyek Rahasia Strategis Kode-802
HRD,Data Gaji NIK 9850 atas nama Karyawan-60
IT Security,Server IP 94.249 API: DDIZVVYAYO
Keuangan,Transfer Rp 91000000 ke Rekening 60522282
IT Security,Server IP 195.211 API: YTEDQQJMID
IT Security,Server IP 186.158 API: LBUZQGIXSP
HRD,Data Gaji NIK 4146 atas nama Karyawan-7
HRD,Data Gaji NIK 3837 atas nama Karyawan-100
IT Security,Server IP 65.170 API: PYWCHMKXRO
Strategi,Rencana Proyek Rahasia Strategis Kode-736
Keuangan,Transfer Rp 82000000 ke Rekening 89731821
Keuangan,Transfer Rp 69000000 ke Rekening 16376807
Strategi,Rencana Proyek Rahasia Strategis Kode-645
IT Security,Server IP 44.114 API: DKJKSDYNCJ
HRD,Data Gaji NIK 3833 atas nama Karyawan-23
Keuangan,Transfer Rp 68000000 ke Rekening 58672648
HRD,Data Gaji NIK 1370 atas nama Karyawan-38
HRD,Data Gaji NIK 2786 atas nama Karyawan-3
Keuangan,Transfer Rp 89000000 ke Rekening 42946317
HRD,Data Gaji NIK 8498 atas nama Karyawan-23
Keuangan,Transfer Rp 7000000 ke Rekening 84308924
Keuangan,Transfer Rp 97000000 ke Rekening 88124277
IT Security,Server IP 207.144 API: OMRZOIPCWU
Keuangan,Transfer Rp 48000000 ke Rekening 19766072
HRD,Data Gaji NIK 6301 atas nama Karyawan-26
IT Security,Server IP 219.69 API: BPSDYNKDAS
Keuangan,Transfer Rp 42000000 ke Rekening 62062231
HRD,Data Gaji NIK 2819 atas nama Karyawan-54
HRD,Data Gaji NIK 2823 atas nama Karyawan-13
IT Security,Server IP 150.145 API: KSHATYBILW
Keuangan,Transfer Rp 81000000 ke Rekening 67669007
Keuangan,Transfer Rp 97000000 ke Rekening 82156210
Keuangan,Transfer Rp 34000000 ke Rekening 29983470
Keuangan,Transfer Rp 4000000 ke Rekening 29483242
HRD,Data Gaji NIK 2576 atas nama Karyawan-36
IT Security,Server IP 188.110 API: XBGDODMBML
Keuangan,Transfer Rp 28000000 ke Rekening 96371826
HRD,Data Gaji NIK 7360 atas nama Karyawan-30
IT Security,Server IP 149.170 API: FMOZVPCJCV
Keuangan,Transfer Rp 57000000 ke Rekening 22224210
HRD,Data Gaji NIK 1799 atas nama Karyawan-42
IT Security,Server IP 198.18 API: BMQFMVMALT
Strategi,Rencana Proyek Rahasia Strategis Kode-418
IT Security,Server IP 147.144 API: VJSCRCQESL
Strategi,Rencana Proyek Rahasia Strategis Kode-262
Strategi,Rencana Proyek Rahasia Strategis Kode-843
Keuangan,Transfer Rp 38000000 ke Rekening 56436114
HRD,Data Gaji NIK 9966 atas nama Karyawan-1
Strategi,Rencana Proyek Rahasia Strategis Kode-701
Strategi,Rencana Proyek Rahasia Strategis Kode-418
IT Security,Server IP 32.145 API: BDLSHSZVYM
HRD,Data Gaji NIK 6425 atas nama Karyawan-9
Strategi,Rencana Proyek Rahasia Strategis Kode-300
HRD,Data Gaji NIK 7947 atas nama Karyawan-97
HRD,Data Gaji NIK 3299 atas nama Karyawan-8
IT Security,Server IP 204.44 API: IGHDOYQPHL
Keuangan,Transfer Rp 55000000 ke Rekening 57217659
IT Security,Server IP 120.128 API: XEAOIVSUIZ
Strategi,Rencana Proyek Rahasia Strategis Kode-929
Keuangan,Transfer Rp 44000000 ke Rekening 45726788
Keuangan,Transfer Rp 11000000 ke Rekening 32626251
Keuangan,Transfer Rp 52000000 ke Rekening 90590714
HRD,Data Gaji NIK 9252 atas nama Karyawan-68
Strategi,Rencana Proyek Rahasia Strategis Kode-442
IT Security,Server IP 163.160 API: VCCQZQTWLA
HRD,Data Gaji NIK 4685 atas nama Karyawan-39
IT Security,Server IP 214.175 API: AEVXGXRUAY
IT Security,Server IP 105.11 API: BRAYEXUBNH
HRD,Data Gaji NIK 7408 atas nama Karyawan-39
IT Security,Server IP 1.127 API: IHTNYPOJCH
Strategi,Rencana Proyek Rahasia Strategis Kode-720
HRD,Data Gaji NIK 3522 atas nama Karyawan-19
Strategi,Rencana Proyek Rahasia Strategis Kode-218
HRD,Data Gaji NIK 5956 atas nama Karyawan-27
Keuangan,Transfer Rp 37000000 ke Rekening 61157633
Strategi,Rencana Proyek Rahasia Strategis Kode-421
Strategi,Rencana Proyek Rahasia Strategis Kode-878
Strategi,Rencana Proyek Rahasia Strategis Kode-518
Keuangan,Transfer Rp 54000000 ke Rekening 16882768
Strategi,Rencana Proyek Rahasia Strategis Kode-954
HRD,Data Gaji NIK 3359 atas nama Karyawan-65
Keuangan,Transfer Rp 60000000 ke Rekening 83821594
Keuangan,Transfer Rp 49000000 ke Rekening 83396402
Keuangan,Transfer Rp 19000000 ke Rekening 85919491
HRD,Data Gaji NIK 1891 atas nama Karyawan-63
Strategi,Rencana Proyek Rahasia Strategis Kode-799
Keuangan,Transfer Rp 57000000 ke Rekening 99259570
HRD,Data Gaji NIK 2702 atas nama Karyawan-25
HRD,Data Gaji NIK 7147 atas nama Karyawan-85
IT Security,Server IP 178.86 API: GMQNNCWUZG
IT Security,Server IP 72.185 API: MSQGDLDFPC
IT Security,Server IP 184.191 API: NJHNXAIPNV
IT Security,Server IP 132.200 API: FYSHTXHKMI
IT Security,Server IP 59.28 API: FMEFIJOZWM
Strategi,Rencana Proyek Rahasia Strategis Kode-248
Strategi,Rencana Proyek Rahasia Strategis Kode-733
HRD,Data Gaji NIK 5991 atas nama Karyawan-81
Keuangan,Transfer Rp 32000000 ke Rekening 56704733
IT Security,Server IP 157.42 API: KNSBSFGRVE
HRD,Data Gaji NIK 4620 atas nama Karyawan-34
IT Security,Server IP 2.164 API: VGLBHCQHWQ
HRD,Data Gaji NIK 6503 atas nama Karyawan-73
Strategi,Rencana Proyek Rahasia Strategis Kode-485
Strategi,Rencana Proyek Rahasia Strategis Kode-566
HRD,Data Gaji NIK 8942 atas nama Karyawan-27
HRD,Data Gaji NIK 5834 atas nama Karyawan-52
Strategi,Rencana Proyek Rahasia Strategis Kode-879
IT Security,Server IP 93.213 API: IJSGBYWHRR
IT Security,Server IP 236.66 API: EMUNXSMDXL
Keuangan,Transfer Rp 74000000 ke Rekening 91809026
Keuangan,Transfer Rp 2000000 ke Rekening 69766988
Keuangan,Transfer Rp 63000000 ke Rekening 75352075
HRD,Data Gaji NIK 6750 atas nama Karyawan-27
HRD,Data Gaji NIK 5892 atas nama Karyawan-58
Keuangan,Transfer Rp 10000000 ke Rekening 15725428
Keuangan,Transfer Rp 91000000 ke Rekening 71907136
Keuangan,Transfer Rp 54000000 ke Rekening 53061155
Keuangan,Transfer Rp 37000000 ke Rekening 97002839
HRD,Data Gaji NIK 1297 atas nama Karyawan-16
HRD,Data Gaji NIK 9208 atas nama Karyawan-5
IT Security,Server IP 205.172 API: ASUQGQLCRZ
IT Security,Server IP 33.81 API: WDLJLRLGPE
Strategi,Rencana Proyek Rahasia Strategis Kode-950
IT Security,Server IP 55.3 API: WOKAOGDOGR
IT Security,Server IP 3.20 API: XVWSZRMPTL
HRD,Data Gaji NIK 7741 atas nama Karyawan-87
HRD,Data Gaji NIK 7634 atas nama Karyawan-87
HRD,Data Gaji NIK 6849 atas nama Karyawan-34
IT Security,Server IP 228.60 API: VQAOHZTKEE
HRD,Data Gaji NIK 3371 atas nama Karyawan-81
Keuangan,Transfer Rp 75000000 ke Rekening 67255498
HRD,Data Gaji NIK 7457 atas nama Karyawan-24
HRD,Data Gaji NIK 5203 atas nama Karyawan-74
Keuangan,Transfer Rp 95000000 ke Rekening 25621567
IT Security,Server IP 83.82 API: CRYOXUAYWZ
HRD,Data Gaji NIK 8757 atas nama Karyawan-77
Keuangan,Transfer Rp 35000000 ke Rekening 11916251
Strategi,Rencana Proyek Rahasia Strategis Kode-454
Keuangan,Transfer Rp 65000000 ke Rekening 55473487
Strategi,Rencana Proyek Rahasia Strategis Kode-353
Strategi,Rencana Proyek Rahasia Strategis Kode-474
Strategi,Rencana Proyek Rahasia Strategis Kode-830
Strategi,Rencana Proyek Rahasia Strategis Kode-706
IT Security,Server IP 175.214 API: YSPDWCYKYO
HRD,Data Gaji NIK 4547 atas nama Karyawan-50
Strategi,Rencana Proyek Rahasia Strategis Kode-794
HRD,Data Gaji NIK 6687 atas nama Karyawan-47
Strategi,Rencana Proyek Rahasia Strategis Kode-200
Strategi,Rencana Proyek Rahasia Strategis Kode-967
HRD,Data Gaji NIK 6178 atas nama Karyawan-86
HRD,Data Gaji NIK 9525 atas nama Karyawan-1
IT Security,Server IP 70.127 API: PJHBLIDHHE
IT Security,Server IP 114.110 API: NOHXEUMMOO
Keuangan,Transfer Rp 93000000 ke Rekening 21164992
Strategi,Rencana Proyek Rahasia Strategis Kode-837
IT Security,Server IP 125.153 API: EFKHLCVOLM
Strategi,Rencana Proyek Rahasia Strategis Kode-836
IT Security,Server IP 214.116 API: KJLNRHZEMM
Keuangan,Transfer Rp 29000000 ke Rekening 52904614
IT Security,Server IP 63.217 API: OPKBUAAZOH
Keuangan,Transfer Rp 78000000 ke Rekening 39838940
IT Security,Server IP 245.22 API: OFHMMQQCIP
Strategi,Rencana Proyek Rahasia Strategis Kode-665
HRD,Data Gaji NIK 3065 atas nama Karyawan-67
IT Security,Server IP 7.44 API: BSUEYCQAGL
Strategi,Rencana Proyek Rahasia Strategis Kode-566
HRD,Data Gaji NIK 3011 atas nama Karyawan-15
IT Security,Server IP 123.187 API: BBBFNYALFC
IT Security,Server IP 241.239 API: YUUIKOEPEY
IT Security,Server IP 50.166 API: QKCTVLAFIH
Keuangan,Transfer Rp 81000000 ke Rekening 44498154
IT Security,Server IP 94.58 API: RBCSJWVWMU
Keuangan,Transfer Rp 17000000 ke Rekening 49687295
HRD,Data Gaji NIK 7071 atas nama Karyawan-24
IT Security,Server IP 228.193 API: KPOVDHWDXT
Strategi,Rencana Proyek Rahasia Strategis Kode-697
IT Security,Server IP 218.22 API: DDSTOZXXYF
Keuangan,Transfer Rp 89000000 ke Rekening 15937154
Strategi,Rencana Proyek Rahasia Strategis Kode-310
HRD,Data Gaji NIK 1162 atas nama Karyawan-75
Strategi,Rencana Proyek Rahasia Strategis Kode-895
Keuangan,Transfer Rp 54000000 ke Rekening 88838766
HRD,Data Gaji NIK 6935 atas nama Karyawan-13
IT Security,Server IP 67.190 API: LTMNZTNXIT
Strategi,Rencana Proyek Rahasia Strategis Kode-227
IT Security,Server IP 150.108 API: BELHGTJGVY
Strategi,Rencana Proyek Rahasia Strategis Kode-387
Keuangan,Transfer Rp 90000000 ke Rekening 13051265
Strategi,Rencana Proyek Rahasia Strategis Kode-210
Strategi,Rencana Proyek Rahasia Strategis Kode-864
HRD,Data Gaji NIK 2807 atas nama Karyawan-22
Keuangan,Transfer Rp 90000000 ke Rekening 78600010
IT Security,Server IP 207.60 API: XHTXJEMEXR
Strategi,Rencana Proyek Rahasia Strategis Kode-902
Strategi,Rencana Proyek Rahasia Strategis Kode-373
IT Security,Server IP 5.142 API: SZOSIZTOCL
IT Security,Server IP 6.81 API: FCACYSGWHX
HRD,Data Gaji NIK 5010 atas nama Karyawan-63
HRD,Data Gaji NIK 4929 atas nama Karyawan-12
IT Security,Server IP 231.245 API: NUFYADCLTL
IT Security,Server IP 77.39 API: DAIYIHIPMH
IT Security,Server IP 154.240 API: OPOOVPBJAX
HRD,Data Gaji NIK 4726 atas nama Karyawan-19
HRD,Data Gaji NIK 2170 atas nama Karyawan-8
Keuangan,Transfer Rp 65000000 ke Rekening 46306963
IT Security,Server IP 28.138 API: VVHOQOLKCY
Strategi,Rencana Proyek Rahasia Strategis Kode-751
Strategi,Rencana Proyek Rahasia Strategis Kode-449
HRD,Data Gaji NIK 8560 atas nama Karyawan-3
Strategi,Rencana Proyek Rahasia Strategis Kode-100
HRD,Data Gaji NIK 4327 atas nama Karyawan-44
HRD,Data Gaji NIK 3388 atas nama Karyawan-33
IT Security,Server IP 105.191 API: XMCFMOZLRL
HRD,Data Gaji NIK 8243 atas nama Karyawan-23
HRD,Data Gaji NIK 6994 atas nama Karyawan-85
HRD,Data Gaji NIK 3950 atas nama Karyawan-42
Keuangan,Transfer Rp 45000000 ke Rekening 25763386
HRD,Data Gaji NIK 1149 atas nama Karyawan-44
HRD,Data Gaji NIK 5642 atas nama Karyawan-8
HRD,Data Gaji NIK 5791 atas nama Karyawan-27
Strategi,Rencana Proyek Rahasia Strategis Kode-750
HRD,Data Gaji NIK 6776 atas nama Karyawan-60
IT Security,Server IP 98.15 API: CXCHETXIII
IT Security,Server IP 108.69 API: CWKZRVMIFJ
Keuangan,Transfer Rp 40000000 ke Rekening 11865625
IT Security,Server IP 90.11 API: JJTREJXQWV
HRD,Data Gaji NIK 9919 atas nama Karyawan-92
IT Security,Server IP 15.201 API: VYXWRDHVLG
HRD,Data Gaji NIK 2913 atas nama Karyawan-76
Strategi,Rencana Proyek Rahasia Strategis Kode-398
Keuangan,Transfer Rp 12000000 ke Rekening 41366254
HRD,Data Gaji NIK 8848 atas nama Karyawan-74
Keuangan,Transfer Rp 35000000 ke Rekening 70262244
Strategi,Rencana Proyek Rahasia Strategis Kode-563
IT Security,Server IP 70.10 API: EQYUNHGNNQ
IT Security,Server IP 232.185 API: CWNHNSLIGY
HRD,Data Gaji NIK 2528 atas nama Karyawan-93
IT Security,Server IP 204.216 API: ONQPNPJEPV
HRD,Data Gaji NIK 9182 atas nama Karyawan-18
IT Security,Server IP 75.76 API: EGSBTSWIFR
Keuangan,Transfer Rp 16000000 ke Rekening 66156759
Keuangan,Transfer Rp 87000000 ke Rekening 62079548
IT Security,Server IP 48.120 API: ILKWSCUGRL
Strategi,Rencana Proyek Rahasia Strategis Kode-940
Keuangan,Transfer Rp 35000000 ke Rekening 82861554
Keuangan,Transfer Rp 68000000 ke Rekening 54049731
IT Security,Server IP 22.210 API: VOPMMMADPQ
HRD,Data Gaji NIK 1301 atas nama Karyawan-29
HRD,Data Gaji NIK 6078 atas nama Karyawan-59
Strategi,Rencana Proyek Rahasia Strategis Kode-311
IT Security,Server IP 126.192 API: XCWXEXCGLR
Keuangan,Transfer Rp 44000000 ke Rekening 71959969
IT Security,Server IP 139.236 API: EGFHRRKOPV
HRD,Data Gaji NIK 9073 atas nama Karyawan-31
IT Security,Server IP 227.189 API: MZEFMFDNCF
Strategi,Rencana Proyek Rahasia Strategis Kode-723
Keuangan,Transfer Rp 29000000 ke Rekening 94720662
Keuangan,Transfer Rp 64000000 ke Rekening 96274812
IT Security,Server IP 156.235 API: ZWSYJNWOEA
IT Security,Server IP 166.201 API: AOQXNOEKHX
HRD,Data Gaji NIK 8189 atas nama Karyawan-61
IT Security,Server IP 89.149 API: IDHOBWXECG
HRD,Data Gaji NIK 4027 atas nama Karyawan-41
Strategi,Rencana Proyek Rahasia Strategis Kode-222
HRD,Data Gaji NIK 6101 atas nama Karyawan-41
IT Security,Server IP 252.67 API: VBTCYFKQOO
IT Security,Server IP 207.240 API: BUFXYPMCGC
HRD,Data Gaji NIK 5257 atas nama Karyawan-7
HRD,Data Gaji NIK 7248 atas nama Karyawan-48
IT Security,Server IP 234.129 API: KMMTQCBGDU
Strategi,Rencana Proyek Rahasia Strategis Kode-491
HRD,Data Gaji NIK 2756 atas nama Karyawan-95
HRD,Data Gaji NIK 8093 atas nama Karyawan-79
Strategi,Rencana Proyek Rahasia Strategis Kode-311
IT Security,Server IP 207.219 API: OUOQKYOWGB
Keuangan,Transfer Rp 12000000 ke Rekening 99441557
Keuangan,Transfer Rp 20000000 ke Rekening 39276032
IT Security,Server IP 53.226 API: VKUGFNBAUW
Keuangan,Transfer Rp 77000000 ke Rekening 49265917
HRD,Data Gaji NIK 1292 atas nama Karyawan-82
Keuangan,Transfer Rp 70000000 ke Rekening 53081862
IT Security,Server IP 126.130 API: FKVOHRXTKR
Strategi,Rencana Proyek Rahasia Strategis Kode-262
HRD,Data Gaji NIK 2591 atas nama Karyawan-78
IT Security,Server IP 169.235 API: VMGVEGKSZF
Keuangan,Transfer Rp 60000000 ke Rekening 91425499
